StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3811603,Anderson,124WLCX,1550,6/13/2018,1735,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.7915,-95.6645389,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.0909,mg/L,
3812303,Anderson,124CRRZ,570,10/25/2005,1350,1,1,24,7,Analysis Balanced.  Faucet on discharge,31.851945,-95.517222,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3812303,Anderson,124CRRZ,570,4/27/2010,1030,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.851945,-95.517222,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.15,mg/L,
3812303,Anderson,124CRRZ,570,4/9/2014,1310,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.851945,-95.517222,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.15,mg/L,
3812703,Anderson,124CRRZ,725,3/11/2002,1620,1,1,23,7,Analysis Balanced.  ,31.755001,-95.585834,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.11,mg/L,
3812703,Anderson,124CRRZ,725,10/24/2005,1345,1,1,24,7,Analysis Balanced.  Faucet after P tank,31.755001,-95.585834,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.1,mg/L,
3812703,Anderson,124CRRZ,725,4/27/2010,1130,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.755001,-95.585834,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.13,mg/L,
3813107,Anderson,124CRRZ,508,3/14/2002,1452,1,1,23,7,Analysis Balanced.  ,31.8658667,-95.4965861,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.13,mg/L,
3813107,Anderson,124CRRZ,508,10/25/2005,1455,1,1,24,7,Analysis Balanced.  Faucet in building,31.8658667,-95.4965861,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3813107,Anderson,124CRRZ,508,4/27/2010,950,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8658667,-95.4965861,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.14,mg/L,
