A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
51,38,61,48,40,33,2,10,2,2,29,4,0,0,0
51,38,61,48,40,34,1,10,2,0,30,2,0,0,0
51,38,61,47,39,34,1,9,2,0,31,2,0,0,0
51,38,61,47,38,34,1,9,2,0,30,2,0,0,0
51,37,62,47,36,35,1,10,2,0,30,1,0,0,0
51,37,62,47,36,36,1,11,2,1,30,1,0,0,0
50,37,62,48,35,33,1,11,2,1,30,1,0,0,0
50,37,62,48,32,34,0,10,2,1,25,0,0,0,0
50,37,62,48,29,35,0,13,3,1,25,0,0,0,0
50,37,61,48,26,34,0,12,3,1,26,0,0,0,0
50,37,61,48,26,35,1,12,2,1,26,0,0,0,0
50,36,61,49,29,33,1,10,2,0,17,0,0,0,0
50,35,61,49,28,31,1,10,2,0,17,0,0,0,0
51,35,61,49,28,31,0,10,2,0,18,0,0,0,0
51,35,60,49,28,29,0,10,2,1,18,0,0,0,0
51,36,62,49,30,27,0,10,2,3,17,0,0,0,0
50,36,62,49,31,26,0,10,2,2,18,0,0,0,0
50,36,62,50,30,28,1,11,2,2,19,0,0,0,0
50,36,62,50,31,28,1,11,1,3,19,0,0,0,0
49,36,62,50,31,27,1,12,1,3,20,0,0,0,0
49,36,62,50,33,28,0,11,1,2,24,0,0,0,0
49,36,62,49,32,26,0,11,1,1,20,0,0,0,0
49,36,62,49,32,27,0,12,2,1,21,0,0,0,0
49,36,62,49,29,26,0,9,2,1,13,0,0,0,0
49,36,62,48,27,24,0,10,3,2,12,0,0,0,0
49,36,62,48,28,24,1,9,3,2,14,1,0,0,0
49,37,62,48,31,25,1,8,2,2,15,1,0,0,0
48,37,62,48,31,24,1,10,2,2,16,1,0,0,0
48,37,62,48,32,23,1,11,2,2,16,1,0,0,0
48,37,62,48,32,22,1,10,1,3,15,0,0,0,0
48,37,62,48,31,23,0,11,1,3,16,0,0,0,0
48,37,62,48,31,23,0,11,2,3,18,0,0,0,0
48,37,62,48,27,22,0,12,2,2,18,0,0,0,0
48,37,62,48,27,23,0,12,2,2,18,0,0,0,0
48,37,63,48,29,26,0,14,2,2,19,0,0,0,0
48,38,63,48,30,29,0,14,3,2,23,0,0,0,0
48,38,62,48,31,30,0,15,2,1,24,0,0,0,0
49,38,62,48,31,34,0,13,2,1,22,0,0,0,0
48,38,62,49,31,34,0,12,2,1,23,0,0,0,0
49,37,62,49,31,35,0,13,1,1,23,0,0,0,0
49,37,62,49,31,38,0,12,2,3,23,0,0,1,0
49,37,62,49,30,41,0,11,1,3,22,0,0,1,0
49,37,62,49,29,41,2,11,2,3,22,2,2,1,2
49,37,62,49,31,40,2,11,2,3,26,2,2,1,2
50,37,62,48,31,38,1,10,2,4,23,1,2,1,1
51,37,63,48,32,38,1,9,2,2,20,1,1,1,1
51,37,63,48,32,39,0,9,1,2,24,0,0,0,0
52,37,64,49,33,35,0,11,0,2,24,0,0,0,0
52,37,64,48,33,34,0,11,1,2,26,0,0,0,0
52,37,64,49,32,34,0,12,1,2,26,0,0,0,0
52,37,64,49,33,32,1,11,2,2,24,1,0,0,0
52,37,65,49,32,31,3,10,1,2,22,2,1,1,1
52,37,66,49,32,29,3,11,1,2,25,2,1,1,1
53,39,66,49,33,31,2,11,1,2,26,2,1,1,1
53,39,67,49,32,31,4,13,2,2,27,2,2,1,1
53,40,67,49,32,33,4,14,2,1,30,2,1,0,0
54,40,68,50,33,36,3,15,1,2,33,0,1,0,0
54,40,67,50,32,36,4,15,1,2,32,0,0,0,0
55,40,67,50,32,41,4,14,1,2,35,0,0,0,0
55,40,67,50,32,44,4,13,2,2,36,0,0,0,0
55,40,69,51,33,49,3,15,2,2,46,0,0,0,0
55,41,69,51,32,49,3,15,2,1,46,0,0,0,0
54,41,69,51,33,48,3,15,2,1,46,0,0,0,0
56,41,69,51,37,48,6,15,2,1,38,3,0,0,0
57,41,68,51,38,47,7,15,1,1,37,1,0,0,0
57,40,69,51,35,47,5,13,2,1,27,1,0,0,0
56,41,69,51,35,42,3,12,3,1,26,1,0,0,0
55,41,71,51,35,45,3,11,4,1,26,1,0,0,0
54,41,71,51,34,43,2,10,3,2,20,0,0,0,0
56,41,69,51,37,41,2,10,2,2,20,0,0,0,0
55,39,71,53,36,39,3,11,1,3,22,0,0,0,0
55,39,71,53,37,38,3,10,1,3,23,0,0,0,0
55,39,71,53,37,38,2,11,1,4,24,0,0,0,0
54,38,74,53,37,39,2,12,1,4,31,0,1,0,0
54,39,75,52,37,40,0,13,1,5,38,0,0,0,0
54,40,74,52,37,40,0,13,1,4,38,0,0,0,0
54,41,74,52,37,40,0,16,1,5,38,0,0,0,0
52,41,73,52,36,41,0,15,2,5,37,0,0,0,0
52,41,73,52,36,40,0,16,2,5,35,0,0,0,0
53,42,73,52,37,40,0,15,1,3,34,0,0,0,0
53,42,73,52,37,42,1,16,1,3,36,0,0,0,0
53,42,72,52,35,43,1,16,1,1,36,0,0,0,0
53,42,72,52,36,47,2,17,1,1,39,1,0,0,0
53,42,72,52,38,50,4,17,2,1,42,1,0,0,0
54,42,73,52,41,49,4,16,2,1,43,1,0,0,0
55,42,73,52,40,50,3,15,1,2,40,1,0,0,0
54,42,73,52,40,48,3,13,1,2,38,0,0,0,0
54,42,73,52,40,47,2,15,1,3,40,1,0,0,0
54,42,73,52,40,45,2,16,1,3,39,1,0,0,0
54,42,73,52,40,44,2,18,0,3,40,0,0,0,0
53,42,73,51,41,45,3,18,2,4,41,0,0,1,0
54,42,72,51,43,47,2,17,2,5,42,0,0,1,0
54,42,72,51,44,47,3,17,2,6,43,1,0,1,0
55,41,72,52,46,46,3,17,2,5,42,1,0,1,0
55,41,72,51,46,47,3,18,1,3,43,1,0,0,0
55,41,72,51,44,47,3,15,2,3,41,1,0,0,0
54,41,73,51,43,45,2,15,1,3,40,0,0,0,0
54,41,73,51,43,46,1,15,2,2,41,0,0,0,0
54,41,73,52,43,47,1,15,2,2,42,0,0,0,0
54,41,73,52,42,46,0,15,2,1,40,0,0,0,0
54,41,73,52,40,50,1,16,3,1,45,1,0,0,0
53,41,72,52,39,51,1,18,3,1,46,1,0,0,0
53,41,72,51,38,50,1,16,3,1,42,1,0,0,0
53,41,71,51,37,50,1,15,4,1,41,1,0,0,0
55,41,71,51,37,49,1,15,4,1,41,1,0,0,0
55,41,71,51,37,49,1,16,4,1,42,1,0,0,0
55,42,70,51,39,49,2,16,3,1,42,2,0,0,0
56,42,70,51,41,48,2,16,4,2,42,2,0,1,0
56,43,69,52,41,48,4,16,3,1,42,3,0,1,0
56,43,69,52,41,46,4,14,2,2,41,3,0,0,0
57,43,70,51,42,45,4,15,4,2,40,3,0,0,0
57,43,70,51,42,47,4,14,4,2,40,3,0,0,0
57,43,70,51,42,47,3,15,4,2,41,3,0,0,0
57,41,70,51,39,46,2,14,4,2,34,2,0,0,0
57,41,70,51,41,45,2,15,4,3,33,2,0,0,0
56,41,70,50,43,43,2,15,3,2,35,2,0,0,0
56,41,70,50,42,44,1,14,2,2,36,1,0,0,0
58,41,70,50,43,44,0,15,3,2,36,0,0,0,0
58,41,71,50,45,43,0,16,1,3,36,0,0,1,0
56,41,70,50,44,41,0,15,1,4,36,0,0,1,0
56,40,69,51,43,40,0,15,1,7,37,0,0,0,0
56,40,69,51,44,38,1,14,2,6,35,0,0,0,0
56,40,69,51,46,38,1,15,2,5,36,0,0,0,0
56,40,70,51,46,38,1,15,2,6,36,0,0,0,0
56,40,70,50,46,40,2,16,2,6,37,0,0,0,0
56,40,70,49,45,44,2,18,2,6,42,0,0,0,0
56,40,70,48,44,46,2,18,1,6,44,0,0,0,0
56,39,69,47,42,44,3,18,2,5,42,1,0,0,0
56,40,69,47,42,44,3,16,2,3,40,1,0,0,0
56,40,70,47,42,46,6,16,2,1,39,4,0,0,0
56,40,70,47,41,48,6,17,2,1,44,4,0,0,0
55,39,70,47,39,45,6,15,3,1,41,3,0,0,0
55,39,70,48,39,43,6,14,2,1,39,1,0,0,0
55,39,70,49,39,42,6,14,2,1,39,1,0,0,0
55,39,67,51,40,41,7,15,2,1,40,1,0,0,0
55,39,67,51,41,41,7,15,4,1,37,6,0,0,0
56,39,67,51,41,40,5,16,3,2,38,5,0,0,0
56,39,66,51,41,41,5,17,3,2,40,5,0,0,0
55,39,66,50,43,41,5,17,3,2,40,4,0,0,0
55,39,66,50,42,40,4,18,3,4,39,1,0,0,0
55,39,66,50,42,41,1,18,3,4,38,1,0,0,0
54,39,66,50,41,40,1,16,3,4,32,1,0,0,0
54,39,66,50,41,37,1,16,4,4,31,1,0,0,0
54,39,65,50,41,37,1,15,7,6,31,1,0,2,0
54,39,66,50,38,40,1,16,6,4,33,1,2,2,2
54,39,66,50,39,38,1,16,6,3,37,1,2,2,2
54,39,66,50,39,39,1,17,5,4,38,1,2,2,2
54,40,66,50,40,39,2,17,5,4,38,2,2,2,2
54,40,66,49,41,38,2,15,4,5,36,2,0,2,0
54,41,66,49,40,40,2,13,4,4,34,2,1,1,1
54,41,65,49,40,37,2,13,3,4,32,2,1,1,1
54,41,65,49,37,36,2,12,2,4,31,2,1,1,1
54,41,65,49,37,36,2,13,2,5,32,2,1,1,1
53,41,67,49,37,38,1,14,1,5,33,1,0,0,0
53,43,66,49,37,37,1,12,0,5,32,0,0,0,0
54,43,66,49,37,39,1,12,1,3,33,1,1,1,1
54,43,66,48,37,41,2,14,1,4,33,1,1,1,1
54,44,66,48,37,40,2,15,1,4,35,1,1,1,1
54,44,66,49,37,41,3,16,1,4,36,1,1,1,1
54,44,66,49,39,41,3,18,1,2,38,1,1,1,1
54,44,66,49,39,41,3,18,1,2,38,1,1,1,1
54,44,65,50,40,41,3,18,2,3,40,0,1,0,0
56,44,65,50,42,42,3,20,3,3,41,0,1,0,0
56,44,63,50,42,41,3,18,3,3,39,1,1,0,0
56,44,63,50,42,41,3,17,3,3,35,1,1,0,0
56,44,63,50,41,40,3,16,3,1,32,1,0,0,0
58,44,63,50,44,43,2,15,3,2,36,1,0,0,0
58,43,63,50,44,42,0,15,2,3,36,0,0,0,0
58,43,64,51,44,41,0,14,2,4,30,0,0,0,0
58,44,64,52,44,38,0,14,2,4,29,0,0,0,0
58,44,64,52,45,36,0,14,2,3,29,0,0,0,0
59,44,63,52,46,34,0,14,3,4,29,0,0,0,0
59,44,62,52,47,36,0,13,3,2,28,0,0,0,0
59,44,62,52,44,37,0,12,3,2,26,0,0,0,0
59,44,63,51,43,37,0,13,1,3,28,0,0,0,0
59,44,63,52,43,38,0,14,1,3,28,0,0,0,0
59,44,63,53,42,38,0,13,1,3,29,0,0,0,0
59,44,63,53,42,39,0,13,1,3,29,0,0,0,0
59,44,63,53,42,39,0,15,1,2,34,0,0,0,0
59,45,63,53,41,40,1,16,1,2,33,0,0,0,0
60,45,63,53,41,43,1,15,2,2,36,1,0,0,0
61,45,64,53,42,44,2,14,2,1,36,1,0,0,0
61,45,64,53,42,46,4,15,2,1,37,2,0,0,0
59,45,65,51,41,45,4,15,3,1,37,2,0,0,0
58,43,65,51,35,40,3,13,2,2,16,1,0,0,0
56,42,64,50,35,29,3,13,2,2,16,1,0,0,0
53,42,63,50,35,17,4,14,2,2,13,1,0,0,0
53,42,61,50,34,17,3,12,2,2,12,0,0,0,0
52,42,61,50,33,18,3,12,3,2,12,0,0,0,0
52,42,61,50,34,16,1,11,3,2,12,1,0,0,0
51,42,61,50,33,15,2,9,3,2,9,1,0,0,0
51,42,59,50,33,14,2,7,3,2,7,1,0,0,0
50,40,58,50,32,13,2,6,2,1,6,1,0,0,0
49,40,58,50,32,13,3,7,2,1,7,1,0,0,0
49,40,58,50,31,11,4,5,3,1,6,1,0,0,0
49,40,58,50,31,12,5,5,4,0,7,2,0,0,0
49,40,58,49,32,11,5,4,4,0,7,1,0,0,0
49,40,57,49,30,11,3,5,5,0,8,1,0,0,0
49,39,57,48,30,10,3,7,5,0,8,1,0,0,0
49,39,57,48,29,10,3,8,3,1,8,0,0,0,0
49,39,57,48,30,12,4,9,5,1,9,1,0,0,0
