StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
6859632,Atascosa,124CRRZ,750,5/20/2014,1550,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.048889,-98.655001,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860119,Atascosa,124CRRZ,400,5/11/2010,1627,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.099445,-98.602778,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860119,Atascosa,124CRRZ,400,5/20/2014,1400,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.099445,-98.602778,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860850,Atascosa,124CRRZ,1057,10/12/2010,1032,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0344444,-98.5738889,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860850,Atascosa,124CRRZ,1057,7/3/2014,925,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0344444,-98.5738889,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860852,Atascosa,124CRRZ,1130,6/30/2010,1212,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.035556,-98.550001,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860852,Atascosa,124CRRZ,1130,5/20/2014,1305,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.035556,-98.550001,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6860853,Atascosa,124CRRZ,1205,4/17/2018,1350,1,1,23,7,Analysis Balanced.  ,29.0343833,-98.5737667,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861416,Atascosa,124CRRZ,1007,5/12/2010,942,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0652361,-98.4882028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861416,Atascosa,124CRRZ,1007,7/1/2014,925,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0652361,-98.4882028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861416,Atascosa,124CRRZ,1007,4/19/2018,1220,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0652361,-98.4882028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861909,Atascosa,124CRRZ,1598,8/13/2010,1005,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0017083,-98.4141722,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861909,Atascosa,124CRRZ,1598,7/1/2014,1020,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0017083,-98.4141722,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
6861909,Atascosa,124CRRZ,1598,4/19/2018,1115,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,29.0017083,-98.4141722,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804107,Atascosa,124CRRZ,1130,8/10/2010,1527,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.986667,-98.589445,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804107,Atascosa,124CRRZ,1130,5/21/2014,1020,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.986667,-98.589445,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804313,Atascosa,124CRRZ,1700,6/30/2010,1012,1,1,23,7,Analysis Balanced.  ,28.9779389,-98.501075,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804313,Atascosa,124CRRZ,1700,5/22/2014,1020,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9779389,-98.501075,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804313,Atascosa,124CRRZ,1700,4/18/2018,1055,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9779389,-98.501075,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804509,Atascosa,124CRRZ,1970,8/11/2010,910,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9294944,-98.5491028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804509,Atascosa,124CRRZ,1970,7/2/2014,1000,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9294944,-98.5491028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804509,Atascosa,124CRRZ,1970,4/19/2018,930,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9294944,-98.5491028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804612,Atascosa,124CRRZ,2125,8/11/2010,822,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9299722,-98.51905,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804612,Atascosa,124CRRZ,2125,5/21/2014,835,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9299722,-98.51905,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804612,Atascosa,124CRRZ,2125,4/19/2018,845,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9299722,-98.51905,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
7804820,Atascosa,124CRRZ,1960,8/11/2010,952,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,28.9097722,-98.5447611,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
