Year	MUNICIPALITY_NAME	Cattle [#/km2]	Pork  [#/km2]	Poultry [#/km2]	Crops [%]	Flood control	Campsites [#/km2]	Outdoor activities [#/km2]	Human population [#/km2]	Distance from Montreal [km]	Soil capacity for agriculture																					CSDNAME	Year	CDNAME	gr	sept_gr	carbon	hunts	camp	outdo	modif.catt	modif.pig	modif.poult	modif.crop	modif.flood
1971	Saint Cesaire	55.79	94.91	1480.28	60.75	0	0.000000	0.0000	43.83	57.38	2																					Boucherville	1996	Longueuil	2	3	0.185058121	0.238734995	0	4.680114637	0.157987065	0	0	0.545538926	0.640160927
1971	Saint Charles sur Richelieu	32.11	12	4.76	40.74	0	0.000000	0.0000	13.68	46.29	4																					Boucherville	2001	Longueuil	2	3	0.185286078	0.352550517	0	4.680114637	0.198526879	0	0	1.063692808	0
1971	Saint Chrysostome	39.52	2.86	155.49	39.57	0	0.000000	0.0000	12.9	45.18	2																					Boucherville	2006	Longueuil	2	3	0.185286078	0.371982435	0	6.236393721	0.198526879	0	0.00101962	0.618917464	0
1971	Saint Clet	37.8	4.63	811.67	66.66	0	0.000000	0.0000	22.94	45.72	2																					Brigham	1971	Brome_Missisquoi	6	6	0.855342245	0.030535872	0	0	1.132889639	0.293427681	0.61251773	0.512568773	0
1971	Saint Constant	22.35	19.09	1038.92	53.79	0.33	0.000000	0.0000	93.37	19.71	2																					Brigham	1976	Brome_Missisquoi	4	1	1.09208342	0.088831626	0	0	0.7362531	0.233978092	0.268781129	0.424107871	1.234596074
1971	Saint Cyprien de Napierville	42.16	4.9	973.29	55.74	0	0.000000	0.0000	9.28	43.9	2																					Brigham	1981	Brome_Missisquoi	4	1	1.305826021	0.29703075	0	0	0.759339238	0.459478338	0.412661419	0.48752587	0
1971	Saint Damase	27.07	106.93	2446.36	74.45	0	0.000000	0.0000	27.44	54.1	3																					Brigham	1986	Brome_Missisquoi	1	1	1.497936046	0.738412893	0	0	0.736809392	0.366588355	0.450320931	0.405010405	0.960241391
1971	Saint David	43.36	57.04	92.09	56.28	0.67	0.000000	0.0000	11.97	82.82	2																					Brigham	1991	Brome_Missisquoi	1	1	1.669779496	1.784960489	0	0	0.549616972	1.197783621	0.758509819	0.36555432	2.560643708
1971	Saint Denis sur Richelieu	51.97	26.67	541.69	53.46	0	0.000000	0.0000	10.05	52.52	2																					Brigham	1996	Brome_Missisquoi	1	1	1.822722369	3.092450988	0	0	0.564636869	0.643374338	0	0.402307933	2.880724172
1971	Saint Dominique	44.36	123.29	4553.14	44.86	0	0.000000	0.0000	23.52	69.01	3																					Brigham	2001	Brome_Missisquoi	1	1	1.958130664	3.941903413	0	0	0.512345376	0.852285217	0	0.37726503	0.640160927
1971	Saint edouard	39.17	46.43	113.96	66.66	0	0.000000	0.0000	19.59	33.94	2																					Brigham	2006	Brome_Missisquoi	1	1	2.07737038	4.583156715	0	0	0.407206097	0.9543857	0	0.428431825	1.600402318
1971	Saint etienne de Beauharnois	62.09	2.42	63.53	63.84	0	0.000000	0.0000	17.94	34.91	2																					Bromont	1971	La_Haute_Yamaska	2	3	0.852390257	0.01665593	0.490100722	2.356973396	0.4302525	0.223661136	0.012658315	0.217510354	0
1971	Saint Georges de Clarenceville	37.6	7.09	667.77	34.06	0.67	0.000000	0.0000	13.42	63.76	3																					Bromont	1976	La_Haute_Yamaska	2	3	1.179941645	0.063847731	0.707144996	2.19909001	0.459219444	0.163905029	0.071186314	0.235115026	1.005967171
1971	Saint Gerard Majella	40.07	22.85	137.28	47.5	0	0.000000	0.0000	8.65	87.2	2																					Bromont	1981	La_Haute_Yamaska	2	3	1.409885218	0.26371889	0.837838764	3.608763094	0.530703028	0.496111007	0.000213853	0.231511731	0
1971	Saint Hugues	32.53	147.29	1893.3	61.06	0.67	0.000000	0.0000	9.04	74.93	2																					Bromont	1986	La_Haute_Yamaska	2	3	1.572479345	0.624597372	0.963864409	3.766646479	0.443643254	0.428706896	0.00010158	0.254933151	0
1971	Saint Hyacinthe	32.8	44.4	588.84	69.05	0.67	0.000000	0.0000	219.46	61.5	2																					Bromont	1991	La_Haute_Yamaska	2	3	1.697982393	1.549001482	0.870511997	3.766646479	0.400530587	0.192583176	0.003940241	0.218900197	2.560643708
1971	Saint Ignace de Stanbridge	43.02	42.17	208.94	35.64	0	3.720800	0.0000	11.53	70.77	3																					Bromont	1996	La_Haute_Yamaska	2	3	1.81665273	2.623308962	1.176241398	3.766646479	0.527643419	0.069706736	0.012658315	0.166832578	1.280321854
1971	Saint Isidore	55.04	7.91	21.39	73.79	0	0.000000	0.0000	33.45	23.98	2																					Bromont	2001	La_Haute_Yamaska	2	3	1.958748723	2.820404132	1.44229594	1.409673084	0.330994027	0.103513457	0	0.20809031	0.960241391
1971	Saint Jacques le Mineur	18.29	22.26	1427.96	60.75	0	0.000000	0.0000	14.71	34.34	2																					Bromont	2006	La_Haute_Yamaska	2	3	2.154528739	2.698260646	1.544983761	1.88332324	0.319033738	0.111101653	0.000507901	0.207189487	2.240563245
1971	Saint Jean Baptiste	35.12	18.89	4399.97	61.56	0	16.664427	0.0034	33.57	45.67	2																					Calixa_Lavallee	1971	Lajemmerais	3	4	0.458642618	0	0	0	1.019127827	0	0.005383749	1.039730893	0
1971	Saint Jean sur Richelieu	15.65	2.96	148.42	50.68	0.33	0.000000	0.0000	215.03	38.25	2																					Calixa_Lavallee	1976	Lajemmerais	4	2	0.570249392	0	0	0	0.619987971	0	0.001659652	1.091566871	0.182903122
1971	Saint Joachim de Shefford	25.93	17.33	60.74	23.35	0	0.000000	0.0000	6.76	93.23	5																					Calixa_Lavallee	1981	Lajemmerais	4	2	0.657970731	0	0	0	0.747100803	0	0	0.714713646	0
1971	Saint Jude	25.71	21.65	4151.91	25.34	0	0.000000	0.0000	13.85	63.23	4																					Calixa_Lavallee	1986	Lajemmerais	4	2	0.726240535	0.008327965	0	0	0.59050447	0	0.003031366	0.986582286	0
